Year,OPRHP Region,County,Name,Attendance
2019,Finger Lakes,Tompkins,Allan Treman Marina,355313
2019,Allegany,Cattaraugus,Allegany Quaker Area,802727
2019,Allegany,Cattaraugus,Allegany Red House Area,718483
2019,Palisades,Orange/Rockland,Anthony Wayne,83463
2019,Palisades,Orange/Rockland,Appalachian Trail,16146
2019,Niagara,Niagara,Artpark,321427
2019,Saratoga/Capital,Greene,Athens,13404
2019,Allegany,Chautauqua,Barcelona Lighthouse,17252
2019,Central,Oswego,Battle Isl Golf Course,28377
2019,Long Island,Suffolk,Bayard C. A.,442658
2019,New York City,Queens,Bayswater Point St Pk,11868
2019,Palisades,Orange/Rockland,Bear Mountain St Pk,2230956
2019,Niagara,Erie,Beaver Island,306395
2019,Finger Lakes,Wayne,Beechwood,0
2019,Long Island,Suffolk,Belmont Lakes St Pk,908222
2019,Saratoga/Capital,Rensselaer,Bennington Battlefield,29859
2019,Long Island,Nassau,Bethpage Golf Course,848486
2019,Central,Otsego,Betty And Wilbur Davis State Park,18562
2019,Niagara,Erie,Big 6 Marina,68118
2019,Thousand Islands,St Lawrence,Black Lk Boat Launch,13969
2019,Thousand Islands,Jefferson,Black River Trail,104340
2019,Palisades,Rockland,Blauvelt,31420
2019,Finger Lakes,Seneca,Bonavista Golf Course,3890
2019,Central,Chenango,Bowman Lake St Pk,75582
2019,Genesee,Monroe,Braddock Bay,37552
2019,Long Island,Nassau,Brentwood Sp,690867
2019,Palisades,Ulster,Bristol Beach,10319
2019,Long Island,Suffolk,Brookhaven State Park,78316
2019,Niagara,Erie,Buckhorn,38894
2019,Niagara,Erie,Buffalo Harbor St Pk & Marina,261682
2019,Thousand Islands,Jefferson,Burnham Pnt River Park,12703
2019,Finger Lakes,Tompkins,Buttermilk Falls St Pk,326156
2019,Long Island,Suffolk,Caleb Smith State Park,69959
2019,Long Island,Suffolk,Camp Hero,286671
2019,Finger Lakes,Ontario,Canadaigua Btlau Ontrio,42005
2019,Central,Otsego,Canadarago Boat Lnch,17129
2019,Thousand Islands,Jefferson,Canoe-Picnic Pnt River,8744
2019,Long Island,Suffolk,Captree St Pk,1369277
2019,Long Island,Suffolk,Caumsett St Pk,523476
2019,Finger Lakes,Seneca,Cayuga Lake St Pk,167289
2019,Thousand Islands,St Lawrence,Cedar Island River Park,2126
2019,Thousand Islands,St Lawrence,Cedar Pnt River Park,72059
2019,Thousand Islands,Jefferson,Chaumont Boat Launch,38766
2019,Central,Broome,Chenango Valley St Pk,214454
2019,Saratoga/Capital,Rensselaer,Cherry Plain St Pk,23790
2019,Finger Lakes,Wayne,Chimney Bluffs,80599
2019,Central,Madison,Chittenango Fls St Pk,194257
2019,Taconic,Putnam,Clarence Fahnestock,312606
2019,Central,Onondaga,Clark Reservation,163346
2019,New York City,Richmond,Clay Pit Ponds,47060
2019,Taconic,Columbia,Clermont,92759
2019,Taconic,Dutchess,Clinton House,0
2019,Long Island,Suffolk,Cold Spring Harbor,174863
2019,Thousand Islands,St Lawrence,Coles Creek,81993
2019,Genesee,Livingston,Conesus Lake Boat Launch,33469
2019,Long Island,Suffolk,Connetquot River St Pk,250562
2019,Taconic,Columbia,Copake Falls,315626
2019,Saratoga/Capital,Greene,Coxsackie,72426
2019,Saratoga/Capital,Rensselaer,Crailo,5776
2019,Saratoga/Capital,Essex,Crown Point,29033
2019,Thousand Islands,Clinton,Cumberland Bay St Pk,55420
2019,Genesee,Genesee,Darien Lakes State Park,79019
2019,Finger Lakes,Seneca,Deans Cove Boat Launch,20993
2019,Central,Oneida,Delta Lake St Pk,268084
2019,Niagara,Niagara,Deveaux Woods,105175
2019,Niagara,Niagara,Devils Hole,161137
2019,Thousand Islands,Jefferson,Dewolf Point,14064
2019,Genesee,Monroe,Durand Eastman,0
2019,Thousand Islands,St Lawrence,Eel Weir St Park,4583
2019,New York City,Kings,Empire Fulton Ferry,0
2019,Niagara,Erie,Evangola St Pk,189593
2019,Taconic,Westchester,F D Roosevelt,572102
2019,Finger Lakes,Cayuga,Fair Haven St Pk,294544
2019,Finger Lakes,Cayuga,Fillmore Glen St Pk,111272
2019,Palisades,Orange,Fort Montgomery,30970
2019,Central,Oswego,Fort Ontario,123852
2019,Niagara,Niagara,Four  Mile Creek,81822
2019,New York City,New York,Franklin D. Roosevelt Four Freedoms State Park,255473
2019,Niagara,Niagara,Ft Niagara (including boat launch),474077
2019,Finger Lakes,Ontario,Ganondagan,49318
2019,New York City,Queens,Gantry Plaza,1898951
2019,Genesee,Monroe,Genesee River Park,984
2019,Genesee,Monore/Livingston/Wyoming/Allegany/Cattaraugus,Genesee Valley Greenway,50133
2019,Central,Otsego,Gilbert Lake St Pk,202304
2019,Central,Otsego,Glimmerglass State Park,173453
2019,Niagara,Niagara,Golden Hill St Pk,73554
2019,Palisades,Orange,Goosepond Mountain,5894
2019,Saratoga/Capital,Rensselaer,Grafton Lakes St Pk,261190
2019,Saratoga/Capital,Saratoga,Grants Cottage,5008
2019,Thousand Islands,Jefferson,Grass Pnt River Park,36632
2019,Thousand Islands,Clinton,Great Chazy Boat Launch,16314
2019,Central,Onondaga,Green Lakes State Park,1103261
2019,Finger Lakes,Ontario,H H Spencer,56108
2019,Long Island,Suffolk,Hallock St Pk Preserve,24826
2019,Genesee,Monroe,Hamlin Beach State Park,345821
2019,Palisades,Orange/Rockland,Harriman Beaver Pond,75051
2019,Palisades,Orange/Rockland,Harriman Group Camp,191153
2019,Palisades,Orange/Rockland,Harriman Hiker Trail,118189
2019,Palisades,Rockland,Haverstraw Beach,22266
2019,Long Island,Suffolk,Heckscher St Park,1133307
2019,Long Island,Nassau,Hempstead Lake St Pk,397585
2019,Central,Herkimer,Herkimer Home,6000
2019,Palisades,Rockland,High Tor St Pk,24373
2019,Palisades,Orange,Highland Lakes,8308
2019,Thousand Islands,St Lawrence,Higley Flow St Park,44892
2019,Long Island,Suffolk,Hither Hills,497769
2019,Finger Lakes,Ontario,Honeoye Bt Lau,41599
2019,Palisades,Rockland,Hook Mountain,27528
2019,Taconic,Putnam,Hudson Highlands,477864
2019,Saratoga/Capital,Columbia,Hudson River Islands,0
2019,Central,Chenango,Hunts Pond State Park,0
2019,Finger Lakes,Steuben,Indian Hills Golf Course,18331
2019,Genesee,Monroe,Irondquoit Bay Boat Lnch,38653
2019,Thousand Islands,St Lawrence,Jacques Cartier St Pk,27979
2019,Taconic,Dutchess,James Baird,107659
2019,Saratoga/Capital,Albany,John Boyd Thacher Pk,610599
2019,Saratoga/Capital,Essex,John Brown Farm,56638
2019,Saratoga/Capital,Delaware,John Burroughs Memorial,1021
2019,Taconic,Westchester,John Jay Homestead,77119
2019,Saratoga/Capital,Fulton,Johnson Hall,60354
2019,Long Island,Nassau,Jones Beach,8156628
2019,Niagara,Niagara,Joseph Davis St Pk,6
2019,Thousand Islands,Jefferson,Keewaydin St Park,56769
2019,Finger Lakes,Yates,Keuka Lake St Pk,116615
2019,Niagara,Erie,Knox Farm Sp,292815
2019,Palisades,Orange,Knox Headquarters,12535
2019,Thousand Islands,Jefferson,Kring Point,50483
2019,Allegany,Chautauqua,Lake Erie St Pk,107355
2019,Saratoga/Capital,Washington,Lake Lauderdale *2,8588
2019,Palisades,Sullivan,Lake Superior,11794
2019,Taconic,Columbia,Lake Taghkanic St Park,185282
2019,Palisades,Orange/Rockland,Lake Welch,312213
2019,Genesee,Orleans,Lakeside Beach St Pk,100587
2019,Genesee,Livingston/Wyoming,Letchworth State Park,841681
2019,Finger Lakes,Seneca,Lodi Point Marina/Boat,19807
2019,Allegany,Chautauqua,Long Point Marina,104645
2019,Thousand Islands,Jefferson,Long Point River Park,35362
2019,Finger Lakes,Cayuga,Long Point St Pk,50021
2019,Central,Madison,Lorenzo,45820
2019,Thousand Islands,Clinton,Macomb Reservation,32498
2019,Finger Lakes,Chemung,Mark Twain State Park and Soaring Eagles Golf Course,25066
2019,New York City,Kings,Marsha P. Johnson State Park (former East River State Park until 2020),1609568
2019,Thousand Islands,Jefferson,Mary Island River Park,2619
2019,Saratoga/Capital,Schoharie,Max V Shaul Campsite,34083
2019,Central,Oswego,Mexico Point Boat Launch,11520
2019,Allegany,Chautauqua,Midway State Park,81050
2019,Taconic,Dutchess,Mills Norrie St Pk,199967
2019,Saratoga/Capital,Schoharie,Minekill,149981
2019,Palisades,Ulster,Minnewaska Park,398406
2019,Long Island,Suffolk,Montauk Downs,89434
2019,Long Island,Suffolk,Montauk Point,1104315
2019,Saratoga/Capital,Saratoga,Moreau Lake St Pk,347290
2019,Long Island,Suffolk,Napeague State Park,113260
2019,Palisades,Orange,National Purple Heart Hall Of Honor,18564
2019,Palisades,Orange,New Windsor Cantonment,20985
2019,Finger Lakes,Chemung,Newtown Battlefield,46609
2019,Niagara,Niagara,Niagara Reservation,9596491
2019,Long Island,Suffolk,Nissequogue River,272750
2019,Palisades,Rockland,Nyack Beach St Pk,121064
2019,Genesee,Orleans,Oak Orchard Boat Launch,6992
2019,Taconic,Columbia,Olana,160936
2019,Taconic,Westchester,Old Croton Aqueduct,1242593
2019,Central,Madison,Old Erie Canal,141651
2019,Central,Broome/Delaware,Oquaga State Park,48054
2019,Long Island,Suffolk,Orient Beach St Pk,180137
2019,Central,Oneida,Oriskany Battlefield,14488
2019,Palisades,Rockland,Palisades,17206
2019,Saratoga/Capital,Saratoga,Peebles Island,51218
2019,Taconic,Westchester,Peter Jay House (Jay Heritage Center),15742
2019,Taconic,Westchester,Philipse Manor,29252
2019,Central,Oswego,Pine Grove Boatlaunch,8584
2019,Finger Lakes,Steuben,Pinnacle State Park and Golf Course,0
2019,Central,Oneida,Pixley Falls State Park,44597
2019,Long Island,Nassau,Planting Fields A,312574
2019,Thousand Islands,Clinton,Point Au Roche,75302
2019,Thousand Islands,Clinton,Point Au Roche Boat Lau,14213
2019,Taconic,Dutchess,Quiet Cove Riverfront Park,28503
2019,Niagara,Niagara,Reservoir St Pk,162847
2019,New York City,New York,Riverbank Fitness Cntr,22346
2019,New York City,New York,Riverbank Rollr-Ice Rnks,446650
2019,New York City,New York,Riverbank State Park,3020622
2019,Finger Lakes,Tompkins,Robert H Treman St Pk,369121
2019,Long Island,Suffolk,Robert Moses St Pk,4269163
2019,Thousand Islands,St Lawrence,Robert Moses St Pk,114065
2019,New York City,Bronx,Roberto Clemente,339868
2019,Thousand Islands,Jefferson,Rock Island,6898
2019,Taconic,Westchester,Rockefeller Preserve,414211
2019,Palisades,Rockland,Rockland Lake State Park,574143
2019,Taconic,Dutchess,Rudd Pond,17936
2019,Thousand Islands,Jefferson,Sackets Harbor Btl Field,83642
2019,Long Island,Suffolk,Sag Harbour,21968
2019,Palisades,Ulster,Sam's Point,86437
2019,Finger Lakes,Seneca,Sampson St Pk,165614
2019,Central,Oswego,Sandy Island Beach,18842
2019,Saratoga/Capital,Saratoga,Saratoga Lake Boat Lnch,111352
2019,Saratoga/Capital,Saratoga,Saratoga Springs (incl Victoria Pool & Golf Course),3065622
2019,Saratoga/Capital,Rensselaer,Schodack Island,207678
2019,Saratoga/Capital,Montgomery,Schoharie Crossing,89021
2019,Palisades,Orange,Schunnemunk State Park,50410
2019,Saratoga/Capital,Albany,Schuyler Mansion,15206
2019,Palisades,Orange/Rockland,Sebago Lake,81226
2019,Central,Oswego,Selkirk Shores,96448
2019,Palisades,Ulster,Senate House,38595
2019,Finger Lakes,Ontario/Seneca,Seneca Lake St Pk,140148
2019,Long Island,Suffolk,Shadmore,107760
2019,New York City,Kings,Shirley Chisholm State Park,111849
2019,Genesee,Wyoming,Silver Lake,27031
2019,Finger Lakes,Ontario,Sonnenberg Gardens and Mansion,34129
2019,Thousand Islands,Jefferson,Southwick Beach St Pk,84212
2019,Finger Lakes,Cayuga,Springbrook Greens,221
2019,Thousand Islands,St Lawrence,St Lawrence Golf Course,8019
2019,Taconic,Dutchess,Staatsburgh SHS,55067
2019,Central,Onondaga,State Park at the Fair *1,1329275
2019,Palisades,Orange,Sterling Forest,309492
2019,Central,Oneida,Steuben Memorial,5171
2019,Finger Lakes,Steuben,Stony Brook St Pk,176169
2019,Thousand Islands,Jefferson,Stony Creek,22460
2019,Palisades,Rockland,Stony Point Battlefield,35533
2019,Palisades,Orange,Storm King,14239
2019,Long Island,Suffolk,Sunken Meadow St Pk,3602722
2019,Allegany,Chautauqua,Sunset Bay MarinePark,21237
2019,Taconic,Putnam,Taconic Outdoor Education Center,894
2019,Palisades,Rockland,Tallman Mountain St Pk,361922
2019,Finger Lakes,Tompkins,Taughannock Falls St Pk,577391
2019,Saratoga/Capital,Albany,Thompson Lake St Pk,66275
2019,Palisades,Orange/Rockland,Tiorati,261656
2019,Long Island,Nassau,Trailview,157257
2019,Long Island,Nassau,Valley Stream St Pk,331673
2019,Central,Oneida,Verona Beach State Park,152681
2019,Taconic,Dutchess/Ulster,Walkway Over The Hudson,621280
2019,Long Island,Suffolk,Walt Whitman House,7053
2019,Palisades,Orange,Washington Headquarters,33280
2019,Thousand Islands,Jefferson,Waterson Point Docking,1613
2019,Finger Lakes,Schuyler,Watkins Glen St Pk,1037138
2019,Thousand Islands,Jefferson,Wehle State Park,84845
2019,Thousand Islands,Jefferson,Wellesley Island St Pk,200937
2019,Thousand Islands,Jefferson,Westcott Beach St Pk,106727
2019,Thousand Islands,Lewis,Whetstone Gulf,42067
2019,Niagara,Niagara,Whirlpool,417994
2019,Long Island,Suffolk,Wildwood State Park,447597
2019,Thousand Islands,St Lawrence,Wilson Hill Boat Launch,8406
2019,Niagara,Niagara,Wilson Tuscarora St Pk,218596
2019,Niagara,Erie,Woodlawn Beach,0
