County,Population
Albany ,"305,506"
Allegany ,"46,091"
Bronx ,"1,418,207"
Broome ,"190,488"
Cattaraugus ,"76,117"
Cayuga ,"76,576"
Chautauqua ,"126,903"
Chemung ,"83,456"
Chenango ,"47,207"
Clinton ,"80,485"
Columbia ,"59,461"
Cortland ,"47,581"
Delaware ,"44,135"
Dutchess ,"294,218"
Erie ,"918,702"
Essex ,"36,885"
Franklin ,"50,022"
Fulton ,"53,383"
Genesee ,"57,280"
Greene ,"47,188"
Hamilton ,"4,416"
Herkimer ,"61,319"
Jefferson ,"109,834"
Kings ,"2,559,903"
Lewis ,"26,296"
Livingston ,"62,914"
Madison ,"70,941"
Monroe ,"741,770"
Montgomery ,"49,221"
Nassau ,"1,356,924"
New York ,"1,628,706"
Niagara ,"209,281"
Oneida ,"228,671"
Onondaga ,"460,528"
Ontario ,"109,777"
Orange ,"384,940"
Orleans ,"40,352"
Oswego ,"117,124"
Otsego ,"59,493"
Putnam ,"98,320"
Queens ,"2,253,858"
Rensselaer ,"158,714"
Richmond ,"476,143"
Rockland ,"325,789"
Saratoga ,"229,863"
Schenectady ,"155,299"
Schoharie ,"30,999"
Schuyler ,"17,807"
Seneca ,"34,016"
St. Lawrence ,"107,740"
Steuben ,"95,379"
Suffolk ,"1,476,601"
Sullivan ,"75,432"
Tioga ,"48,203"
Tompkins ,"102,180"
Ulster ,"177,573"
Warren ,"63,944"
Washington ,"61,204"
Wayne ,"89,918"
Westchester ,"967,506"
Wyoming ,"39,859"
Yates ,"24,913"
